ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,VisitLocations_Country_3,VisitLocations_Destination_3
13939,International visit to United States between 06 November 2025 and 09 November 2025,,2025-11-25,2025-11-25,,Visits outside the UK,5091,Nigel Farage,United States,,Speaking engagement and charity event,2025-11-06,2025-11-09,,Bassim Haidar,True,,In kind,"Flights for me (£19,072.01) and two staffers (£35,849.01)",54921.02,False,https://interests-api.parliament.uk/api/v1/Interests/13939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13856,International visit to Italy between 05 November 2025 and 09 November 2025,,2025-11-25,2025-11-25,,Visits outside the UK,4671,Afzal Khan,Italy,,Attended the Concordia Forum,2025-11-05,2025-11-09,,The Concordia Forum,False,"254 Chapman Road, Ste 208 8331, Newark, DE 19702",In kind,"Flights (£144.43 and £222.01), accommodation (£203), ground transport (£44.40) and delegate package (£1908.19)",2522.03,True,https://interests-api.parliament.uk/api/v1/Interests/13856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13964,International visit to Switzerland between 08 October 2025 and 09 October 2025,,2025-11-25,2025-11-25,,Visits outside the UK,5307,Dr Beccy Cooper,Switzerland,Geneva,"Delegation of APPG Chairs to Geneva: Advancing UK Leadership in Global Health, Vaccines and Tuberculosis",2025-10-08,2025-10-09,Global Health and Security APPG; AMR APPG,Results UK,False,"DC-207, Clarence Centre for Enterprise and Innovation, 6 St George's Circus, London SE1 6FE",In kind,"Estimate of probable value: Flights, hotel, travel to and from airport and meetings and subsistence",849.77,True,https://interests-api.parliament.uk/api/v1/Interests/13964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13855,International visit to Bahrain between 30 October 2025 and 03 November 2025,,2025-11-24,2025-11-24,,Visits outside the UK,4671,Afzal Khan,Bahrain,,Invited to the Manama Dialogue.,2025-10-30,2025-11-03,,Minister of Foreign Affairs Bahrain,False,"Diplomat Commercial Office Tower, 1722, Manama, Bahrain",In kind,"Flights (£1,315), accommodation (£1,150) and meals (£50)",2515.00,True,https://interests-api.parliament.uk/api/v1/Interests/13855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13937,International visit to Belgium between 26 October 2025 and 27 October 2025,,2025-11-21,2025-11-21,,Visits outside the UK,5316,Mike Reader,Belgium,,"In my role as Chair of the APPG for Food and Drink, I was invited to visit Coca Cola's Research and Development site in Brussels.",2025-10-26,2025-10-27,,Coca-Cola Europacific Partners plc,False,"Pemberton House, Bakers Road, Uxbridge UB8 1EZ",In kind,Train travel (£160) and overnight accommodation (£300),460.00,True,https://interests-api.parliament.uk/api/v1/Interests/13937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13930,International visit to Switzerland between 05 November 2025 and 08 November 2025,,2025-11-19,2025-11-20,,Visits outside the UK,4389,Ruth Cadbury,Switzerland,Berne and Zurich,MP delegation visit with focus on Switzerland’s rail and transport network and Vocational and Professional Education and Training (VPET) system.,2025-11-05,2025-11-08,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the United Kingdom, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), accommodation (£990), in-country travel (£290) and meals (£240)",1900.00,True,https://interests-api.parliament.uk/api/v1/Interests/13930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13864,International visit to Japan between 09 October 2025 and 19 October 2025,,2025-11-13,2025-11-19,,Visits outside the UK,5348,David Taylor,Japan,,"The purpose of the trip to Japan was to foster a deeper understanding between the British and Japanese parliaments and cultures, while also promoting trade between the two countries. The group of MPs worked cross-party to develop and improve links between the two parliaments and encourage economic ties.",2025-10-09,2025-10-19,APPG Japan,All-Party Parliamentary Group on Japan,False,"House of Commons, London SW1A 0AA",In kind,"Flights (£2,911.52), accomdation (£1,943.14), hospitality and food (£574.65), transport (£364.97)",5794.28,True,https://interests-api.parliament.uk/api/v1/Interests/13864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13927,International visit to Vatican City between 21 October 2025 and 26 October 2025,,2025-11-19,2025-11-19,,Visits outside the UK,3957,Martin Vickers,Vatican City,,"Attended an audience with His Holiness the Pope, and in San Marino meetings with the Heads of State, ministers, parliamentarians and business representatives in San Marino.",2025-10-21,2025-10-26,San Marino APPG,Tratos (UK)) Ltd.,False,"Knowsley Factory Randles Road, Knowsley Business Park, Prescot, Merseyside L34 9HX",In kind,"Flights(£996.64) , accommodation (£879.60), subsistence (£826.00)",2702.24,False,https://interests-api.parliament.uk/api/v1/Interests/13927,,,,,,,,San Marino,,,,,,,,,,,,,,,,,,,,,,,,
13919,International visit to Finland between 26 October 2025 and 28 October 2025,,2025-11-18,2025-11-19,,Visits outside the UK,4061,Bill Esterson,Finland,,"To visit the Olkiluoto 3 Nuclear Power Plant, Onkalo Geological Disposal Facility and Radiation and Nuclear Safety Authority (STUK)",2025-10-26,2025-10-28,Nuclear Energy,Nuclear Industry Association,False,"4th Floor, York House, 23 Kingsway, London WC2B 6UJ",In kind,"Return flights to Helsinki, hotel accommodation, transport and meals",882.55,True,https://interests-api.parliament.uk/api/v1/Interests/13919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13921,International visit to Switzerland between 05 November 2025 and 07 November 2025,,2025-11-19,2025-11-19,,Visits outside the UK,5144,Richard Quigley,Switzerland,Berne and Zurich,MP delegation visit with focus on Switzerland’s rail and transport network and Vocational and Professional Education and Training (VPET) system.,2025-11-05,2025-11-07,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the UK, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), accommodation (£660), in-country travel (£290), meals (£240)",1570.00,True,https://interests-api.parliament.uk/api/v1/Interests/13921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
